Date,Title,Artist
04/11/1984,"Besoin de rien, envie de toi",Peter et Sloane
11/11/1984,"Besoin de rien, envie de toi",Peter et Sloane
18/11/1984,"Besoin de rien, envie de toi",Peter et Sloane
25/11/1984,"Besoin de rien, envie de toi",Peter et Sloane
02/12/1984,"Besoin de rien, envie de toi",Peter et Sloane
09/12/1984,"Besoin de rien, envie de toi",Peter et Sloane
16/12/1984,"Besoin de rien, envie de toi",Peter et Sloane
23/12/1984,I Just Called to Say I Love You,Stevie Wonder
30/12/1984,Ghostbusters,"Ray Parker, Jr."
06/01/1985,"Besoin de rien, envie de toi",Peter et Sloane
13/01/1985,"Besoin de rien, envie de toi",Peter et Sloane
20/01/1985,Ghostbusters,"Ray Parker, Jr."
27/01/1985,Ghostbusters,"Ray Parker, Jr."
03/02/1985,When the Rain Begins to Fall,Pia Zadora et Jermaine Jackson
10/02/1985,When the Rain Begins to Fall,Pia Zadora et Jermaine Jackson
17/02/1985,Ghostbusters,"Ray Parker, Jr."
24/02/1985,When the Rain Begins to Fall,Pia Zadora et Jermaine Jackson
03/03/1985,Ghostbusters,"Ray Parker, Jr."
10/03/1985,Square Rooms,Al Corley
17/03/1985,Square Rooms,Al Corley
24/03/1985,Square Rooms,Al Corley
31/03/1985,"Johnny, Johnny",Jeanne Mas
07/04/1985,Square Rooms,"Al CorleyJohnny, Johnny"
14/04/1985,Square Rooms,Al Corley
21/04/1985,"Johnny, Johnny",Jeanne Mas
28/04/1985,"Johnny, Johnny",Jeanne Mas
05/05/1985,We Are the World,USA for Africa
12/05/1985,We Are the World,USA for Africa
19/05/1985,We Are the World,USA for Africa
26/05/1985,SOS Ethiopie,Chanteurs sans frontières
02/06/1985,SOS Ethiopie,Chanteurs sans frontières
09/06/1985,SOS Ethiopie,Chanteurs sans frontières
16/06/1985,SOS Ethiopie,Chanteurs sans frontières
23/06/1985,SOS Ethiopie,Chanteurs sans frontières
30/06/1985,SOS Ethiopie,Chanteurs sans frontières
07/07/1985,SOS Ethiopie,Chanteurs sans frontières
14/07/1985,SOS Ethiopie,Chanteurs sans frontières
21/07/1985,Live Is Life,Opus
28/07/1985,Live Is Life,Opus
04/08/1985,Live Is Life,Opus
11/08/1985,Live Is Life,Opus
18/08/1985,Live Is Life,Opus
25/08/1985,Live Is Life,Opus
01/09/1985,Live Is Life,Opus
08/09/1985,Tarzan Boy,Baltimora
15/09/1985,Tarzan Boy,Baltimora
22/09/1985,Tarzan Boy,Baltimora
29/09/1985,Tarzan Boy,Baltimora
06/10/1985,Tarzan Boy,Baltimora
13/10/1985,Lover Why,Century
20/10/1985,Lover Why,Century
27/10/1985,Lover Why,Century
03/11/1985,Lover Why,Century
10/11/1985,Lover Why,Century
17/11/1985,Lover Why,Century
24/11/1985,Lover Why,Century
01/12/1985,Je te donne,Jean-Jacques Goldman etMichael Jones
08/12/1985,Je te donne,Jean-Jacques Goldman etMichael Jones
15/12/1985,Je te donne,Jean-Jacques Goldman etMichael Jones
22/12/1985,Je te donne,Jean-Jacques Goldman etMichael Jones
29/12/1985,Je te donne,Jean-Jacques Goldman etMichael Jones
05/01/1986,Je te donne,Jean-Jacques Goldman etMichael Jones
12/01/1986,Je te donne,Jean-Jacques Goldman etMichael Jones
19/01/1986,Je te donne,Jean-Jacques Goldman etMichael Jones
26/01/1986,Papa chanteur,Jean-Luc Lahaye
02/02/1986,L'Aziza,Daniel Balavoine
09/02/1986,L'Aziza,Daniel Balavoine
16/02/1986,L'Aziza,Daniel Balavoine
23/02/1986,L'Aziza,Daniel Balavoine
02/03/1986,L'Aziza,Daniel Balavoine
09/03/1986,L'Aziza,Daniel Balavoine
16/03/1986,L'Aziza,Daniel Balavoine
23/03/1986,L'Aziza,Daniel Balavoine
30/03/1986,Capitaine abandonné,Gold
06/04/1986,Capitaine abandonné,Gold
13/04/1986,Capitaine abandonné,Gold
20/04/1986,Capitaine abandonné,Gold
27/04/1986,Capitaine abandonné,GoldOuragan
04/05/1986,Ouragan,Stéphanie
11/05/1986,Ouragan,Stéphanie
18/05/1986,Ouragan,Stéphanie
25/05/1986,Ouragan,Stéphanie
01/06/1986,Ouragan,Stéphanie
08/06/1986,Ouragan,Stéphanie
15/06/1986,Ouragan,Stéphanie
22/06/1986,Ouragan,Stéphanie
29/06/1986,Ouragan,Stéphanie
06/07/1986,En rouge et noir,Jeanne Mas
13/07/1986,En rouge et noir,Jeanne Mas
20/07/1986,Les Démons de minuit,Images
27/07/1986,Les Démons de minuit,Images
03/08/1986,Les Démons de minuit,Images
10/08/1986,Les Démons de minuit,Images
17/08/1986,Les Démons de minuit,Images
24/08/1986,Les Démons de minuit,Images
31/08/1986,Les Démons de minuit,Images
07/09/1986,Les Démons de minuit,Images
14/09/1986,Les Démons de minuit,Images
21/09/1986,Les Démons de minuit,Images
28/09/1986,Les Démons de minuit,Images
